cluster_id	Amplitude
0	11.5
1	15.3
2	21.4
3	10.6
4	9.5
5	9.4
6	13.0
7	9.9
8	15.8
9	24.0
10	10.3
11	20.6
12	16.7
13	9.6
14	9.8
15	9.8
16	9.6
17	28.7
18	9.4
19	13.6
20	11.1
21	13.7
22	11.8
23	22.6
24	11.4
25	10.0
26	9.7
27	9.5
28	10.1
29	11.6
30	8.9
31	18.8
32	9.3
33	9.6
34	10.1
35	10.6
36	15.5
37	11.2
38	17.4
39	11.8
40	11.7
41	13.5
42	9.5
43	13.6
44	10.9
45	9.6
46	9.6
47	9.2
48	10.5
49	10.0
50	7.8
51	12.1
52	9.4
53	21.2
54	16.8
55	18.1
56	13.1
57	10.6
58	12.3
59	9.7
60	15.3
61	16.7
62	12.0
63	11.7
64	9.7
65	9.2
66	9.6
67	16.5
68	9.8
69	14.8
70	9.9
71	9.7
72	16.8
73	11.3
74	9.9
75	22.1
76	12.3
77	13.1
78	9.4
79	9.4
80	9.4
81	9.4
82	11.5
83	18.5
84	11.6
85	10.5
86	9.7
87	9.5
88	13.0
89	11.3
90	9.4
91	16.7
92	9.5
93	11.5
94	9.3
95	8.9
96	10.0
97	13.8
98	12.0
99	16.9
100	28.0
101	12.6
102	9.7
103	9.6
104	14.6
105	9.4
106	8.8
107	17.9
108	19.5
109	10.5
110	11.1
111	9.0
112	9.3
113	9.4
114	18.8
115	9.0
116	14.1
117	9.9
118	8.9
119	9.4
120	12.6
121	13.6
122	13.4
123	13.4
124	21.8
125	26.8
126	9.9
127	14.2
128	15.3
129	13.3
130	13.5
131	11.0
132	9.7
133	23.9
134	9.7
135	9.4
136	22.5
137	22.1
138	18.0
139	16.7
140	30.0
141	21.5
142	10.7
143	20.1
144	10.8
145	9.7
146	13.6
147	27.3
148	20.3
149	15.5
150	22.3
151	17.5
152	19.0
153	15.0
154	9.4
155	22.9
156	9.4
157	11.9
158	29.2
159	9.2
160	26.3
161	22.4
162	20.4
163	10.7
164	23.4
165	24.0
166	19.8
167	10.0
168	10.0
169	10.0
170	15.3
171	25.1
172	14.1
173	20.6
174	16.7
175	22.5
176	10.1
177	24.3
178	8.8
179	23.6
180	16.0
181	8.9
182	18.9
183	9.3
184	8.8
185	18.6
186	20.3
187	17.0
188	17.3
189	28.9
190	16.2
191	10.0
192	15.7
193	12.6
194	10.0
195	12.9
196	20.4
197	16.1
198	23.0
199	18.2
200	9.5
201	10.1
202	21.3
203	14.7
204	9.1
205	9.5
206	12.1
207	8.7
208	9.0
209	8.8
210	8.8
211	9.3
212	9.1
213	16.9
214	23.0
215	9.4
216	23.4
217	37.2
218	36.7
219	19.1
220	8.6
221	29.4
222	45.0
223	9.3
224	18.9
225	37.6
226	23.2
227	9.9
228	15.4
229	11.6
230	24.1
231	18.2
232	10.0
233	18.0
234	15.6
235	9.3
236	14.3
237	13.3
238	11.0
239	9.5
240	8.7
241	13.9
242	14.6
243	9.0
244	25.4
245	27.4
246	26.1
247	22.5
248	19.4
249	13.0
250	16.1
251	18.0
252	10.7
253	11.3
254	9.8
255	19.2
256	10.3
257	21.6
258	9.7
259	8.4
260	8.9
261	13.6
262	9.9
263	21.2
264	9.5
265	9.3
266	10.0
267	9.4
268	26.4
269	12.5
270	12.4
271	11.8
272	12.9
273	26.3
274	39.6
275	13.0
276	22.8
277	12.6
278	20.2
279	9.9
280	10.1
281	15.4
282	19.9
283	10.1
284	17.6
285	17.6
286	10.7
287	13.2
288	9.5
289	13.3
290	10.1
291	9.8
292	12.1
293	11.7
294	10.2
295	10.0
296	21.9
297	13.9
298	11.9
299	15.4
300	11.5
301	9.9
302	10.2
303	13.5
304	17.1
305	10.9
306	10.2
307	10.0
308	16.0
309	9.5
310	12.3
311	13.4
312	9.7
313	9.5
314	9.2
315	9.4
316	9.2
317	9.2
318	10.1
319	9.2
320	9.8
321	9.3
322	10.0
323	11.4
324	9.3
325	9.9
326	9.6
327	15.7
328	9.4
329	9.8
330	29.2
331	9.8
332	6.2
333	11.6
334	14.9
335	9.6
336	10.3
337	8.9
338	11.8
339	9.0
340	8.9
341	14.0
342	11.0
343	9.3
344	10.7
345	10.0
346	11.6
347	9.5
348	9.7
349	9.5
350	9.7
351	11.4
352	10.2
353	9.4
354	11.8
355	28.1
356	18.7
357	9.7
358	29.0
359	10.1
360	13.9
361	9.4
362	9.1
363	17.2
364	11.6
365	13.2
366	11.5
367	37.9
368	49.7
369	9.4
370	16.0
371	20.0
372	18.0
373	9.7
374	22.1
375	56.9
376	26.9
377	9.8
378	10.9
379	10.3
380	13.3
381	19.8
382	28.7
383	8.8
384	11.8
385	38.9
386	9.6
387	41.3
388	26.0
389	41.7
390	38.3
391	10.3
392	50.5
393	10.9
394	36.8
395	16.1
396	17.9
397	12.4
398	20.4
399	13.5
400	9.6
401	14.5
402	28.7
403	16.8
404	23.1
405	50.7
406	35.3
407	13.2
408	30.0
409	26.6
410	27.9
411	21.4
412	15.0
413	10.0
414	20.6
415	10.9
416	10.2
417	18.8
418	23.4
419	12.5
420	9.8
421	23.7
422	15.7
423	21.1
424	9.6
425	21.0
426	10.8
427	9.5
428	18.4
429	9.4
430	47.1
431	18.8
432	9.2
433	10.3
434	21.1
435	15.2
436	13.8
437	12.5
438	18.7
439	11.1
440	15.9
441	9.6
442	29.0
443	9.4
444	9.3
445	14.1
446	16.0
447	24.3
448	34.2
449	8.9
450	9.4
451	14.1
452	26.7
453	9.0
454	9.7
455	9.1
456	9.5
457	8.7
458	10.3
459	9.0
460	14.0
461	10.0
462	9.6
463	16.8
464	9.6
465	9.5
466	9.5
467	9.1
468	8.6
469	10.7
470	9.7
471	9.2
472	13.0
473	11.3
474	9.4
475	9.5
476	10.2
477	9.5
478	11.0
479	14.6
480	23.1
481	23.8
482	8.9
483	9.0
484	12.2
485	10.6
486	9.6
487	20.5
488	11.6
489	11.1
490	22.9
491	9.0
492	8.8
493	32.7
494	13.3
495	11.9
496	9.7
497	14.4
498	11.5
499	13.1
500	11.5
501	27.3
502	22.7
503	10.0
504	11.8
505	9.8
506	41.2
507	13.8
508	14.6
509	17.0
510	9.0
511	14.9
512	9.5
513	8.9
514	8.6
515	9.9
516	11.0
517	17.0
518	10.4
519	19.0
520	9.1
521	9.8
522	9.7
523	32.4
524	11.0
525	17.0
526	16.8
527	9.2
528	9.6
529	10.4
530	19.0
531	9.5
532	11.4
533	11.2
534	17.1
535	21.1
536	19.3
537	12.8
538	32.8
539	32.5
540	9.9
541	9.2
542	10.0
543	23.2
544	13.7
545	16.4
546	18.3
547	9.4
548	11.3
549	21.5
550	9.8
551	9.6
552	18.1
