cluster_id	ContamPct
0	318.6
1	0.0
2	2.3
3	36.3
4	77.8
5	262.4
6	9.7
7	137.7
8	4.4
9	0.2
10	63.4
11	0.4
12	8.4
13	14.9
14	5.9
15	215.6
16	0.0
17	0.0
18	36.5
19	3.7
20	32.4
21	11.8
22	19.1
23	2.1
24	63.0
25	40.1
26	90.3
27	77.5
28	0.0
29	15.1
30	103.3
31	3.7
32	77.3
33	94.9
34	9.8
35	0.0
36	0.0
37	18.5
38	4.2
39	5.9
40	18.1
41	13.9
42	69.0
43	1.9
44	8.6
45	0.0
46	22.8
47	151.9
48	26.4
49	43.4
50	2.6
51	8.2
52	246.9
53	1.0
54	1.3
55	0.3
56	32.9
57	65.3
58	13.6
59	162.2
60	1.9
61	0.0
62	6.1
63	12.9
64	130.0
65	260.0
66	125.8
67	3.0
68	29.2
69	1.9
70	25.6
71	125.9
72	4.5
73	76.2
74	0.0
75	0.6
76	8.6
77	21.8
78	144.9
79	123.3
80	144.7
81	100.7
82	6.2
83	0.7
84	2.3
85	11.5
86	150.3
87	185.3
88	1.3
89	0.7
90	42.9
91	4.1
92	515.7
93	114.5
94	76.5
95	212.4
96	45.1
97	0.0
98	4.4
99	0.0
100	0.0
101	18.2
102	68.3
103	41.0
104	0.0
105	60.1
106	86.7
107	0.0
108	0.0
109	23.0
110	13.8
111	108.1
112	73.5
113	25.9
114	0.0
115	96.2
116	8.9
117	14.2
118	142.9
119	78.7
120	3.0
121	4.3
122	8.9
123	4.9
124	0.0
125	1.9
126	9.1
127	9.7
128	6.7
129	74.1
130	19.5
131	32.2
132	67.2
133	0.0
134	16.7
135	0.0
136	16.4
137	0.9
138	15.9
139	8.3
140	0.0
141	3.0
142	72.2
143	3.4
144	27.3
145	130.1
146	57.6
147	4.9
148	4.8
149	18.9
150	3.4
151	9.7
152	1.9
153	26.3
154	25.1
155	1.7
156	54.2
157	6.2
158	2.1
159	97.3
160	3.2
161	0.0
162	1.2
163	33.5
164	0.7
165	4.1
166	1.9
167	0.9
168	146.2
169	48.5
170	1.0
171	1.9
172	9.7
173	3.0
174	0.0
175	1.6
176	24.9
177	1.4
178	85.4
179	0.6
180	10.3
181	59.9
182	2.5
183	40.8
184	25.0
185	3.8
186	2.9
187	4.7
188	5.1
189	0.0
190	4.9
191	51.2
192	4.8
193	14.8
194	65.9
195	0.8
196	88.9
197	29.3
198	3.8
199	1.9
200	64.8
201	51.1
202	3.3
203	10.6
204	128.0
205	0.0
206	45.1
207	78.4
208	133.7
209	96.6
210	152.0
211	122.6
212	24.4
213	21.3
214	0.3
215	34.3
216	0.0
217	0.0
218	0.0
219	41.6
220	1.6
221	0.0
222	0.0
223	61.8
224	0.0
225	0.0
226	1.1
227	0.6
228	0.0
229	0.0
230	42.6
231	12.3
232	55.3
233	0.0
234	79.2
235	88.8
236	98.4
237	12.7
238	0.0
239	27.9
240	18.4
241	9.2
242	1.4
243	80.4
244	0.0
245	0.0
246	0.0
247	16.9
248	0.0
249	0.0
250	19.1
251	35.2
252	10.2
253	82.7
254	27.5
255	0.0
256	27.6
257	0.0
258	2.4
259	4.8
260	168.9
261	37.4
262	103.4
263	0.0
264	151.4
265	143.2
266	216.0
267	69.6
268	0.0
269	75.6
270	74.1
271	133.3
272	44.4
273	0.0
274	0.0
275	140.5
276	0.0
277	22.3
278	6.1
279	9.4
280	183.5
281	0.0
282	0.0
283	166.7
284	0.0
285	5.2
286	132.1
287	67.3
288	159.2
289	0.0
290	111.7
291	156.1
292	77.3
293	45.5
294	235.3
295	198.9
296	1.4
297	79.1
298	16.4
299	11.0
300	17.4
301	162.3
302	151.3
303	35.0
304	0.0
305	20.0
306	182.3
307	201.2
308	7.7
309	198.4
310	21.3
311	12.3
312	207.5
313	179.7
314	185.7
315	155.9
316	139.9
317	166.3
318	41.5
319	79.4
320	101.2
321	140.1
322	115.3
323	58.2
324	134.0
325	116.0
326	29.8
327	0.0
328	154.5
329	0.0
330	0.0
331	8.7
332	29.5
333	5.8
334	12.1
335	115.2
336	8.9
337	161.1
338	14.3
339	0.0
340	17.9
341	3.0
342	15.1
343	0.0
344	20.2
345	176.2
346	40.5
347	85.8
348	142.2
349	144.8
350	147.2
351	222.2
352	166.7
353	0.0
354	18.3
355	0.0
356	18.3
357	103.8
358	0.0
359	16.0
360	107.7
361	150.4
362	212.0
363	45.3
364	105.1
365	55.2
366	93.0
367	0.0
368	3.2
369	94.8
370	30.7
371	13.5
372	11.9
373	131.7
374	0.0
375	0.0
376	13.0
377	199.4
378	56.0
379	80.0
380	3.9
381	12.7
382	0.0
383	143.5
384	0.0
385	1.4
386	190.5
387	16.3
388	29.6
389	0.0
390	30.1
391	228.6
392	71.4
393	0.0
394	32.8
395	0.0
396	21.8
397	36.2
398	0.0
399	10.2
400	119.5
401	24.7
402	0.0
403	0.0
404	11.7
405	7.9
406	7.0
407	6.5
408	0.0
409	2.5
