cluster_id	Amplitude
0	28.9
1	17.6
2	14.5
3	10.7
4	12.7
5	26.7
6	9.5
7	18.7
8	15.7
9	25.1
10	13.9
11	12.2
12	20.8
13	12.1
14	14.8
15	10.3
16	18.3
17	12.4
18	14.3
19	13.2
20	11.8
21	12.8
22	18.4
23	14.7
24	12.1
25	11.3
26	9.7
27	11.1
28	13.8
29	13.0
30	10.6
31	22.0
32	13.8
33	16.1
34	23.5
35	25.3
36	14.8
37	18.0
38	24.5
39	23.9
40	8.5
41	21.8
42	20.8
43	28.6
44	14.3
45	24.7
46	14.4
47	16.4
48	14.2
49	14.7
50	16.8
51	18.8
52	14.4
53	13.1
54	12.5
55	9.0
56	8.3
57	9.3
58	21.9
59	25.9
60	16.8
61	24.0
62	11.8
63	17.6
64	9.3
65	11.2
66	20.3
67	10.5
68	10.3
69	9.5
70	11.3
71	10.1
72	9.5
73	10.2
74	9.8
75	11.7
76	10.8
77	12.0
78	11.9
79	14.6
80	15.8
81	16.2
82	23.0
83	51.2
84	25.6
85	11.6
86	13.2
87	25.0
88	23.3
89	28.3
90	15.2
91	17.3
92	14.0
93	15.4
94	13.4
95	18.8
96	15.1
97	17.1
98	10.2
99	10.8
100	9.4
101	9.3
102	10.5
103	11.1
104	21.8
105	9.3
106	10.5
107	10.8
108	16.2
109	18.4
110	14.0
111	28.8
112	16.5
113	17.1
114	25.1
115	12.1
116	27.2
117	14.4
118	14.3
119	16.2
120	15.6
121	18.3
122	22.7
123	16.1
124	14.2
125	10.5
126	22.2
127	12.6
128	12.4
129	11.1
130	21.6
131	12.4
132	12.1
133	13.6
134	14.7
135	10.0
136	11.6
