cluster_id	ContamPct
0	0.0
1	103.6
2	0.0
3	40.4
4	0.0
5	24.4
6	111.4
7	83.6
8	0.0
9	69.4
10	0.0
11	62.7
12	14.7
13	72.6
14	77.4
15	39.7
16	69.9
17	68.8
18	64.8
19	54.7
20	14.2
21	105.1
22	139.5
23	72.4
24	79.6
25	83.4
26	74.1
27	0.0
28	94.6
29	125.4
30	91.0
31	65.4
32	90.0
33	70.2
34	96.6
35	60.4
36	0.0
37	56.1
38	0.0
39	25.5
40	88.9
41	88.1
42	0.0
43	69.0
44	22.7
45	0.0
46	165.3
47	9.7
48	72.7
49	108.5
50	339.5
51	64.5
52	111.3
53	139.7
54	100.6
55	44.5
56	67.6
57	51.3
58	0.0
59	67.2
60	28.2
61	85.8
62	70.5
63	109.2
64	84.2
65	121.2
66	72.7
67	16.4
68	69.0
69	116.7
70	0.0
71	80.8
72	0.0
73	0.0
74	65.0
75	27.8
76	147.2
77	0.0
78	118.0
79	129.0
80	97.8
81	125.3
82	40.3
83	38.5
84	86.6
85	34.2
86	0.0
87	42.6
88	0.0
89	11.8
90	49.4
91	0.0
92	85.9
93	64.3
94	81.4
95	96.1
96	88.0
97	102.3
98	109.9
99	117.6
100	115.7
101	158.5
102	111.9
