cluster_id	Amplitude
0	26.8
1	10.2
2	14.7
3	13.0
4	28.3
5	17.2
6	17.6
7	14.2
8	18.6
9	12.1
10	12.6
11	10.6
12	14.9
13	12.4
14	14.7
15	14.6
16	11.7
17	12.9
18	19.3
19	14.7
20	12.5
21	11.1
22	9.7
23	11.1
24	14.0
25	13.8
26	10.5
27	22.0
28	14.0
29	16.1
30	12.8
31	14.7
32	12.4
33	13.1
34	12.9
35	12.6
36	9.0
37	8.4
38	9.1
39	21.9
40	26.8
41	16.4
42	24.3
43	11.8
44	18.0
45	11.3
46	11.2
47	20.2
48	10.4
49	10.1
50	5.3
51	9.9
52	9.7
53	10.2
54	9.9
55	11.6
56	10.8
57	12.2
58	9.2
59	14.9
60	16.3
61	18.1
62	18.9
63	14.6
64	13.7
65	14.0
66	13.9
67	18.7
68	15.2
69	16.5
70	10.0
71	10.9
72	9.5
73	9.8
74	10.3
75	11.7
76	17.2
77	10.8
78	10.0
79	11.0
80	16.4
81	11.4
82	17.3
83	14.0
84	14.9
85	15.2
86	27.1
87	13.1
88	21.2
89	18.0
90	13.4
91	19.1
92	12.6
93	12.5
94	11.8
95	10.9
96	21.9
97	12.4
98	12.4
99	13.8
100	14.4
101	10.0
102	10.6
