cluster_id	Amplitude
0	14.9
1	9.5
2	29.8
3	18.1
4	25.9
5	10.4
6	19.6
7	14.6
8	25.2
9	9.9
10	9.9
11	12.4
12	13.9
13	11.1
14	13.4
15	24.9
16	12.1
17	9.8
18	11.6
19	21.4
20	9.6
21	11.4
22	10.4
23	12.2
24	18.1
25	14.3
26	10.2
27	12.8
28	9.9
29	15.8
30	14.2
31	9.6
32	11.8
33	24.0
34	10.8
35	18.6
36	27.1
37	15.4
38	10.9
39	15.7
40	12.3
41	14.5
42	16.0
43	17.6
44	9.7
45	17.3
46	12.4
47	15.8
48	10.4
49	13.8
50	16.7
51	9.9
52	13.2
53	12.0
54	8.9
55	22.8
56	17.7
57	9.6
58	10.3
59	9.8
60	13.9
61	11.4
62	9.8
63	10.9
64	16.1
65	10.3
66	11.0
67	9.9
68	16.6
69	13.3
70	9.6
71	9.9
72	31.1
73	11.6
74	13.5
75	12.4
76	9.9
77	22.9
78	14.4
79	13.5
80	13.2
81	22.5
82	27.3
83	13.8
84	11.0
85	20.0
86	14.7
87	22.1
88	15.2
89	13.7
90	17.4
91	21.2
92	32.8
93	22.2
94	20.6
95	10.0
96	20.3
97	13.2
98	11.2
99	14.1
100	27.8
101	10.0
102	23.7
103	28.7
104	24.7
105	15.6
106	19.0
107	13.9
108	18.7
109	22.1
110	24.7
111	21.3
112	24.8
113	8.7
114	21.5
115	10.1
116	16.1
117	13.9
118	9.7
119	20.3
120	25.6
121	21.9
122	22.4
123	10.5
124	9.4
125	14.8
126	24.7
127	17.4
128	14.6
129	19.7
130	15.3
131	14.7
132	14.2
133	17.1
134	15.0
135	10.0
136	12.9
137	20.4
138	13.9
139	10.4
140	16.0
141	12.1
142	13.3
143	19.4
144	8.4
145	9.2
146	9.2
147	22.4
148	24.1
149	10.4
150	23.0
151	36.2
152	10.4
153	22.7
154	10.6
155	13.0
156	26.1
157	13.0
158	27.3
159	9.7
160	13.3
161	15.4
162	7.0
163	15.1
164	10.6
165	12.2
166	21.8
167	9.8
168	9.7
169	13.3
170	18.3
171	11.0
172	10.6
173	11.5
174	15.1
175	16.3
176	12.5
177	20.3
178	11.1
179	10.1
180	15.1
181	9.4
182	10.3
183	9.9
184	9.7
185	10.2
186	10.6
187	10.0
188	10.3
189	11.9
190	11.6
191	10.2
192	12.3
193	12.0
194	13.1
195	12.2
196	10.6
197	12.0
198	9.9
199	13.8
200	15.2
201	15.7
202	35.5
203	13.6
204	53.4
205	25.4
206	35.4
207	12.3
208	52.3
209	17.7
210	16.2
211	13.1
212	28.2
213	24.5
214	20.9
215	10.4
216	32.2
217	23.1
218	12.1
219	18.5
220	11.0
221	23.5
222	12.7
223	30.2
224	25.5
225	9.3
226	17.7
227	52.4
228	17.8
229	12.5
230	18.6
231	12.9
232	10.8
233	11.1
234	16.8
235	9.2
236	32.5
237	13.5
238	29.1
239	9.3
240	10.1
241	14.0
242	10.1
243	9.5
244	9.6
245	11.9
246	21.4
247	12.7
248	13.6
249	11.5
250	11.3
251	11.7
252	83.0
253	25.8
254	12.2
255	10.4
256	7.4
257	11.6
258	9.8
259	13.9
260	10.4
261	11.9
262	21.9
263	21.1
264	37.9
265	10.9
266	23.5
267	9.9
268	12.8
269	29.9
270	12.3
271	11.0
272	11.6
273	16.6
274	29.1
275	12.1
276	16.7
277	18.8
278	11.2
279	11.3
280	11.8
281	15.8
282	11.4
283	11.5
284	29.4
285	21.7
286	17.5
287	18.6
288	14.1
289	26.7
290	14.4
291	16.2
292	11.9
293	9.0
294	24.8
295	12.1
296	23.5
297	9.7
298	12.1
299	11.1
300	19.4
301	22.1
302	20.9
303	17.0
304	11.1
305	16.1
306	20.1
307	11.3
308	12.7
309	12.6
310	25.4
311	15.8
312	12.5
313	11.1
314	28.0
315	9.9
316	10.5
317	12.6
318	16.0
319	11.5
320	18.2
321	12.7
322	10.8
323	33.2
324	13.1
325	11.0
326	11.7
327	12.3
328	26.8
329	20.8
330	12.5
331	12.1
332	13.3
333	9.6
334	12.5
335	13.6
336	22.6
337	10.6
338	31.1
339	11.0
340	33.1
341	30.5
342	13.2
343	9.8
344	10.3
