cluster_id	Amplitude
0	18.0
1	9.4
2	29.7
3	14.8
4	25.6
5	10.5
6	25.2
7	9.9
8	19.5
9	16.2
10	10.0
11	11.9
12	13.5
13	14.1
14	24.9
15	10.8
16	21.1
17	11.7
18	11.6
19	10.3
20	15.1
21	18.0
22	11.4
23	12.1
24	11.1
25	15.7
26	14.4
27	9.8
28	10.0
29	23.8
30	18.6
31	15.4
32	10.7
33	12.0
34	15.8
35	14.3
36	12.0
37	15.6
38	10.9
39	12.0
40	15.7
41	16.7
42	10.3
43	15.9
44	10.1
45	14.1
46	13.6
47	12.0
48	8.7
49	22.7
50	17.8
51	9.9
52	13.0
53	10.9
54	9.9
55	16.1
56	10.4
57	10.9
58	9.9
59	25.0
60	16.6
61	12.3
62	11.5
63	9.5
64	13.6
65	12.5
66	9.9
67	13.1
68	23.2
69	14.3
70	13.5
71	22.5
72	13.5
73	10.0
74	14.1
75	22.1
76	27.5
77	15.6
78	22.9
79	19.1
80	15.0
81	11.3
82	33.4
83	29.1
84	17.6
85	21.2
86	10.0
87	20.7
88	22.2
89	23.5
90	27.4
91	11.0
92	28.8
93	18.9
94	13.5
95	21.8
96	11.1
97	9.8
98	22.0
99	21.9
100	24.5
101	21.3
102	25.4
103	13.1
104	12.2
105	20.2
106	17.1
107	19.6
108	22.2
109	14.1
110	14.7
111	11.1
112	17.1
113	16.9
114	14.6
115	24.7
116	19.7
117	14.7
118	14.7
119	12.9
120	10.3
121	10.7
122	20.3
123	15.7
124	13.9
125	19.9
126	11.9
127	10.0
128	13.7
129	8.2
130	9.3
131	9.2
132	22.3
133	11.2
134	21.9
135	24.0
136	36.1
137	18.6
138	26.1
139	15.7
140	12.1
141	12.8
142	27.0
143	10.6
144	18.8
145	9.8
146	12.1
147	10.9
148	17.6
149	13.9
150	10.6
151	20.3
152	10.6
153	9.9
154	9.3
155	10.1
156	9.9
157	9.6
158	10.2
159	10.0
160	11.7
161	12.5
162	11.7
163	12.0
164	10.3
165	10.2
166	13.3
167	10.7
168	11.9
169	10.9
170	13.8
171	15.4
172	16.5
173	35.2
174	53.5
175	24.9
176	14.2
177	14.4
178	34.4
179	12.5
180	15.4
181	52.1
182	32.2
183	14.9
184	28.1
185	16.5
186	24.5
187	12.9
188	16.9
189	11.9
190	23.5
191	13.9
192	15.6
193	14.8
194	13.8
195	18.8
196	16.7
197	10.2
198	10.1
199	11.3
200	32.4
201	29.2
202	9.4
203	16.8
204	9.5
205	10.9
206	9.4
207	9.6
208	12.0
209	14.1
210	11.6
211	12.9
212	11.0
213	21.4
214	25.1
215	11.3
216	21.4
217	12.6
218	21.0
219	39.0
220	11.5
221	11.6
222	16.4
223	11.0
224	18.3
225	13.5
226	10.8
227	29.5
228	12.4
229	13.3
230	16.7
231	27.7
232	21.1
233	18.6
234	12.6
235	10.6
236	29.4
237	15.8
238	11.4
239	9.3
240	25.0
241	23.4
242	17.8
243	14.6
244	16.0
245	13.2
246	12.0
247	21.8
248	11.4
249	27.1
250	14.2
251	18.5
252	16.9
253	9.3
254	21.3
255	21.8
256	11.4
257	12.4
258	14.2
259	19.4
260	16.1
261	11.1
262	11.1
263	22.0
264	12.2
265	13.9
266	13.5
267	25.6
268	11.0
269	10.5
270	11.5
271	21.6
272	12.2
273	11.9
274	14.9
275	14.6
276	10.0
277	10.2
