cluster_id	Amplitude
0	23.0
1	11.0
2	9.4
3	16.6
4	10.4
5	27.3
6	14.0
7	10.9
8	17.2
9	22.9
10	10.1
11	13.3
12	13.3
13	11.7
14	12.0
15	24.5
16	20.5
17	11.4
18	9.8
19	10.2
20	11.5
21	12.0
22	9.6
23	17.7
24	14.5
25	13.9
26	9.8
27	10.0
28	15.3
29	9.7
30	14.1
31	18.2
32	25.9
33	10.7
34	11.6
35	22.8
36	15.2
37	11.4
38	10.8
39	13.7
40	9.7
41	15.7
42	16.8
43	15.8
44	11.8
45	10.6
46	15.2
47	10.0
48	12.7
49	16.0
50	13.3
51	11.7
52	22.2
53	8.4
54	9.3
55	9.6
56	11.2
57	17.2
58	9.7
59	10.3
60	13.8
61	11.4
62	10.8
63	10.1
64	9.2
65	10.9
66	9.7
67	15.7
68	10.0
69	12.7
70	11.7
71	16.3
72	9.5
73	13.8
74	17.8
75	11.2
76	10.8
77	9.5
78	14.3
79	19.0
80	10.1
81	10.0
82	23.5
83	13.4
84	13.0
85	21.8
86	14.4
87	13.7
88	14.8
89	10.0
90	21.5
91	21.9
92	13.4
93	14.1
94	26.5
95	13.9
96	11.0
97	11.8
98	10.7
99	19.5
100	13.8
101	31.2
102	19.3
103	17.0
104	20.4
105	20.2
106	12.3
107	16.0
108	27.9
109	18.6
110	30.2
111	24.0
112	19.7
113	12.8
114	21.3
115	24.5
116	10.0
117	11.8
118	10.1
119	22.8
120	24.8
121	21.5
122	16.9
123	21.5
124	21.7
125	23.8
126	9.3
127	10.2
128	16.5
129	14.1
130	25.3
131	17.9
132	15.1
133	18.6
134	15.7
135	14.7
136	25.9
137	21.6
138	14.4
139	14.8
140	15.1
141	9.5
142	9.5
143	16.6
144	10.7
145	14.6
146	13.1
147	10.0
148	10.3
149	21.4
150	13.8
151	12.1
152	21.0
153	8.7
154	9.0
155	9.2
156	9.1
157	21.7
158	23.6
159	10.7
160	24.2
161	36.2
162	10.4
163	22.9
164	9.9
165	13.1
166	12.4
167	15.2
168	27.5
169	13.2
170	26.3
171	7.4
172	10.8
173	21.8
174	9.5
175	10.2
176	10.9
177	11.9
178	15.5
179	10.6
180	17.8
181	12.6
182	12.6
183	12.5
184	20.2
185	11.4
186	10.2
187	15.6
188	12.2
189	9.4
190	9.7
191	9.9
192	9.7
193	10.1
194	10.1
195	11.5
196	10.3
197	12.7
198	11.9
199	9.8
200	12.2
201	10.4
202	11.2
203	13.0
204	10.5
205	12.0
206	11.7
207	16.3
208	19.7
209	10.1
210	12.9
211	59.3
212	35.6
213	19.9
214	11.4
215	33.0
216	53.8
217	25.6
218	13.2
219	17.9
220	12.0
221	37.7
222	17.0
223	37.7
224	19.8
225	14.9
226	69.1
227	10.8
228	30.1
229	24.9
230	28.2
231	16.2
232	40.2
233	13.5
234	24.9
235	12.7
236	28.9
237	12.5
238	28.7
239	9.3
240	20.1
241	17.1
242	14.7
243	11.6
244	48.7
245	17.4
246	12.4
247	22.0
248	18.7
249	16.5
250	9.8
251	10.0
252	11.1
253	32.4
254	16.5
255	9.4
256	28.4
257	9.2
258	14.2
259	10.2
260	10.0
261	9.3
262	9.6
263	8.0
264	17.0
265	14.4
266	21.5
267	11.4
268	11.0
269	11.0
270	11.1
271	11.6
272	13.3
273	14.1
274	27.7
275	75.9
276	11.1
277	11.5
278	10.2
279	11.3
280	11.4
281	8.9
282	14.7
283	37.4
284	10.1
285	11.6
286	20.5
287	11.7
288	21.0
289	11.0
290	10.0
291	23.0
292	10.2
293	12.4
294	29.1
295	13.8
296	23.3
297	27.0
298	16.4
299	15.5
300	27.7
301	20.4
302	11.1
303	10.6
304	18.4
305	11.6
306	15.8
307	11.2
308	21.9
309	11.3
310	10.4
311	11.8
312	31.1
313	11.7
314	26.8
315	21.9
316	18.8
317	10.0
318	10.8
319	14.7
320	16.5
321	18.2
322	12.5
323	24.9
324	12.0
325	10.5
326	25.0
327	14.6
328	16.2
329	10.7
330	11.1
331	21.3
332	9.9
333	21.7
334	11.6
335	9.4
336	12.6
337	22.9
338	17.7
339	17.7
340	15.7
341	23.4
342	11.5
343	12.0
344	22.9
345	15.3
346	12.2
347	16.5
348	28.7
349	10.0
350	10.4
351	13.7
352	11.8
353	12.8
354	18.2
355	22.6
356	11.1
357	10.6
358	10.4
359	23.5
360	11.9
361	11.8
362	22.4
363	33.6
364	27.0
365	12.1
366	11.8
367	27.2
368	12.3
369	22.8
370	17.8
371	12.5
372	12.1
373	10.4
374	32.3
375	9.9
376	13.8
377	28.7
378	10.1
379	13.1
380	30.3
381	11.5
382	10.9
383	31.6
384	25.0
385	30.0
386	9.8
387	10.3
