cluster_id	ContamPct
0	94.3
1	69.3
2	79.4
3	95.2
4	65.1
5	58.1
6	7.9
7	63.5
8	88.6
9	66.7
10	41.0
11	22.5
12	100.1
13	0.0
14	75.6
15	46.1
16	63.6
17	84.8
18	0.0
19	73.8
20	106.2
21	77.5
22	62.0
23	86.5
24	74.1
25	122.6
26	64.4
27	0.0
28	0.0
29	0.0
30	0.0
31	42.3
32	90.2
33	13.9
34	150.9
35	0.0
36	0.0
37	133.9
38	6.2
39	0.0
40	106.9
41	0.0
42	80.0
43	125.0
44	110.1
45	85.1
46	27.3
47	62.6
48	46.7
49	0.0
50	0.0
51	0.0
52	112.7
53	114.7
54	85.6
55	0.0
56	69.1
57	0.0
58	55.0
59	127.2
60	0.0
61	46.8
62	0.0
63	0.0
64	83.3
65	97.8
66	37.7
67	95.2
68	92.2
69	68.1
70	0.0
71	93.0
72	59.2
73	93.2
74	86.5
75	32.5
76	85.6
77	84.8
78	20.2
79	96.2
80	101.2
81	114.3
82	130.2
83	0.0
84	95.8
85	0.0
